ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Tattoo Aftercare,,FOUND
2,Wound Healing,,FOUND
3,Skin Anatomy,,FOUND
4,Epidermis,3,FOUND
5,Dermis,3|4,FOUND
6,Tattoo Ink Placement,3|5,FOUND
7,Healing Timeline,2|6,HEAL
8,Surface Healing Phase,7,HEAL
9,Deep Healing Phase,7|8,HEAL
10,Inflammation Stage,2|7,HEAL
11,Proliferation Stage,10,HEAL
12,Remodeling Stage,11,HEAL
13,Fresh Tattoo Care,1|7,HEAL
14,First 24 Hours Care,13,HEAL
15,Week One Protocol,14,HEAL
16,Week Two Protocol,15,HEAL
17,Week Three Protocol,16,HEAL
18,Week Four Protocol,17,HEAL
19,Complete Healing Signs,9|12|18,HEAL
20,Infection Prevention,1|2,HYG
21,Bacterial Contamination,20,HYG
22,Hygiene Practices,20|21,HYG
23,Handwashing Technique,22,HYG
24,Clean Environment,22,HYG
25,Wound Exposure Risks,20|21,HYG
26,Washing Techniques,1|22,WASH
27,First Wash Timing,14|26,WASH
28,Water Temperature,26,WASH
29,Fragrance-Free Soap,26|42,WASH
30,Gentle Cleansing Motion,26|28,WASH
31,Pat Drying Method,26|30,WASH
32,Washing Frequency,26|15,WASH
33,Over-Washing Risks,32,WASH
34,Under-Washing Risks,32,WASH
35,Moisturizing Techniques,1|26,MOIST
36,Ointment Application,35|42,MOIST
37,Thin Layer Method,36,MOIST
38,Moisturizing Frequency,35|15,MOIST
39,Over-Moisturizing Risks,38,MOIST
40,Dry Healing Method,35,MOIST
41,Wet Healing Method,35|36,MOIST
42,Aftercare Products,1,PROD
43,Aquaphor,42|50,PROD
44,Hustle Butter,42,PROD
45,A&D Ointment,42|50,PROD
46,Unscented Lotion,42|51,PROD
47,Tattoo-Specific Products,42,PROD
48,Product Ingredients,42,PROD
49,Fragrance Avoidance,48,PROD
50,Petroleum-Based Products,48,PROD
51,Water-Based Lotions,48,PROD
52,Natural Alternatives,48,PROD
53,Product Allergies,48|75,PROD
54,Patch Testing,53,PROD
55,Normal Healing Signs,7|19,SIGN
56,Peeling Phase,8|55,SIGN
57,Flaking Skin,56,SIGN
58,Itching Sensation,55|56,SIGN
59,Dull Color Phase,55|57,SIGN
60,Scab Formation,10|55,SIGN
61,Light Scabbing,60,SIGN
62,Plasma Weeping,10|14,SIGN
63,Redness Reduction,10|55,SIGN
64,Swelling Timeline,10|55,SIGN
65,Bruising Around Tattoo,55|64,SIGN
66,Abnormal Healing Signs,55,SIGN
67,Excessive Swelling,64|66,SIGN
68,Red Streaking,66|80,SIGN
69,Pus Discharge,66|80,SIGN
70,Fever Symptoms,66|80,SIGN
71,Hot Skin Sensation,66|67,SIGN
72,Foul Odor,66|69,SIGN
73,Prolonged Pain,66,SIGN
74,Spreading Redness,66|68,SIGN
75,Allergic Reaction Signs,66,SIGN
76,Raised Skin Bumps,75,SIGN
77,Severe Itching,58|75,SIGN
78,Ink Rejection,6|75,SIGN
79,Medical Attention Triggers,66,SIGN
80,Infection Symptoms,20|66,SIGN
81,When to See a Doctor,79|80,SIGN
82,Urgent Care Situations,81,SIGN
83,Prohibited Activities,1|7,REST
84,Swimming Restriction,83|25,REST
85,Bathtub Soaking,83|25,REST
86,Hot Tub Avoidance,83|85,REST
87,Ocean Water Exposure,84,REST
88,Pool Chlorine Risks,84,REST
89,Direct Sun Exposure,83|169,REST
90,Tanning Beds,89,REST
91,Scratching Prevention,58|83,REST
92,Picking Scabs,60|91,REST
93,Tight Clothing Friction,83|120,REST
94,Exercise During Healing,83,REST
95,Sweat Management,94,REST
96,Heavy Lifting Impact,94,REST
97,Pre-Appointment Prep,,PREP
98,Hydration Importance,97,PREP
99,Water Intake Guidelines,98,PREP
100,Hydration Timeline,98|99,PREP
101,Skin Hydration Benefits,98|3,PREP
102,Nutrition for Healing,97|2,PREP
103,Protein Requirements,102,PREP
104,Vitamin C Benefits,102,PREP
105,Zinc for Wound Healing,102,PREP
106,Foods to Avoid,102,PREP
107,Alcohol Avoidance,97|106,PREP
108,Caffeine Moderation,106,PREP
109,Anti-Inflammatory Foods,102,PREP
110,Pre-Session Meals,102|111,PREP
111,Blood Sugar Stability,102,PREP
112,Skin Preparation,97|3,PREP
113,Exfoliation Before Tattoo,112,PREP
114,Shaving Tattoo Area,112,PREP
